id,name,iata,region,pi_dimensions_cm,pi_dimensions_in,pi_weight_kg,pi_weight_lbs,pi_fee,pi_notes,co_dimensions_cm,co_dimensions_in,co_weight_kg,co_weight_lbs,co_fee,co_notes,cb_dimensions_cm,cb_dimensions_in,cb_weight_kg,cb_weight_lbs,cb_fee_usd,cb_notes,policy_url,last_updated
jeju-air,Jeju Air,7C,Asia,40 x 20 x 30,15.7 x 7.9 x 11.8,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,10,22,free,South Korea's leading low-cost carrier. 10 kg carry-on included in all fares.,158 linear cm,62 linear in,15,33,20,Checked bag not included in base fare. From ~$20 USD. Popular for Japan/Southeast Asia routes.,https://www.jejuair.net/en/linkService/boardingProcessGuide/cabinBaggage.do,2026-03-30
starlux,STARLUX Airlines,JX,Asia,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,56 x 38 x 23,22 x 15 x 9,7,15,free,Taiwan's premium boutique carrier. Economy: 7 kg carry-on. Business: 10 kg.,158 linear cm,62 linear in,23,50,0,Economy typically includes 1 free bag. Known for premium service at economy prices.,https://www.starlux-airlines.com/en-Global/check-in-fly/baggage-information/general/carry-on-baggage,2026-03-30
bangkok-airways,Bangkok Airways,PG,Asia,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,56 x 36 x 23,22 x 14.2 x 9,10,22,free,Thailand's boutique airline. 10 kg carry-on included. Private terminals at Bangkok and Chiang Mai.,158 linear cm,62 linear in,20,44,0,Economy includes 20 kg free on most routes. Serves leisure destinations in SE Asia.,https://www.bangkokair.com/baggage-allowance,2026-03-30
bamboo-airways,Bamboo Airways,QH,Asia,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,56 x 36 x 23,22 x 14.2 x 9,7,15,free,Vietnamese private airline. 7 kg carry-on included. Operates domestic and international routes.,158 linear cm,62 linear in,23,50,0,Economy Flex includes 1 free bag. Economy Basic may require add-on.,https://www.bambooairways.com/vn/en/travel-info/baggage-info/carry-on-baggage,2026-03-30
virgin-australia,Virgin Australia,VA,Oceania,40 x 23 x 30,15.7 x 9 x 11.8,,,free,Must fit under seat in front,48 x 34 x 23,18.9 x 13.4 x 9,7,15,free,Economy: 7 kg carry-on included. Economy Lite: personal item only.,158 linear cm,62 linear in,23,50,,From ~AU$50. Flex fares include 1 free bag. Australia's second-largest airline.,https://www.virginaustralia.com/au/en/plan/baggage/,2026-03-30
jetstar,Jetstar,JQ,Oceania,36 x 23 x 23,14.2 x 9 x 9,,,free,Small bag free for all fares. Must fit under seat.,56 x 36 x 23,22 x 14.2 x 9,7,15,varies,Qantas low-cost subsidiary. Not included in Starter fare — add-on required. Included in Starter Plus+.,158 linear cm,62 linear in,20,44,,"From ~AU$15. Available in 15 kg, 20 kg, 25 kg, 30 kg options.",https://www.jetstar.com/au/en/help/baggage-allowance,2026-03-30
fiji-airways,Fiji Airways,FJ,Oceania,40 x 30 x 20,15.7 x 11.8 x 7.9,,,free,Must fit under seat in front,56 x 36 x 23,22 x 14.2 x 9,7,15,free,Fiji's national airline. 1 carry-on + 1 personal item included in all fares.,158 linear cm,62 linear in,23,50,0,"Economy includes 1 free checked bag. Pacific hub serving Australia, NZ, and North America.",https://www.fijiairways.com/en-ca/manage/baggage-allowances,2026-03-30
ethiopian,Ethiopian Airlines,ET,Africa,40 x 30 x 20,15.7 x 11.8 x 7.9,,,free,Must fit under seat in front,55 x 40 x 23,21.7 x 15.7 x 9,7,15,free,Africa's largest airline. 7 kg carry-on included. Hub at Addis Ababa (Bole).,158 linear cm,62 linear in,23,50,0,Economy includes 1 free bag on most international routes. Star Alliance member.,https://www.ethiopianairlines.com/aa/information/baggage-information,2026-03-30
kenya-airways,Kenya Airways,KQ,Africa,40 x 30 x 20,15.7 x 11.8 x 7.9,,,free,Must fit under seat in front,56 x 45 x 25,22 x 17.7 x 9.8,12,26,free,Kenya's flag carrier. Generous 12 kg carry-on allowance included in all fares.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free bag. Hub at Nairobi Jomo Kenyatta. SkyTeam member.,https://www.kenya-airways.com/en/plan/baggage-information/,2026-03-30
south-african-airways,South African Airways,SA,Africa,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,56 x 36 x 23,22 x 14.2 x 9,8,18,free,South Africa's flag carrier. 1 carry-on + 1 personal item included.,158 linear cm,62 linear in,23,50,0,"Economy includes 1 free bag on international routes. Hub at OR Tambo, Johannesburg.",https://www.flysaa.com/manage-fly/baggage/baggage-policies,2026-03-30
egyptair,EgyptAir,MS,Africa,40 x 30 x 20,15.7 x 11.8 x 7.9,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,8,18,free,Egypt's national carrier. Economy includes 1 carry-on + 1 personal item. Star Alliance member.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free bag on international routes. Hub at Cairo International.,https://www.egyptair.com/en/fly/baggage/Pages/default.aspx,2026-03-30
royal-air-maroc,Royal Air Maroc,AT,Africa,40 x 30 x 20,15.7 x 11.8 x 7.9,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,10,22,free,Morocco's flag carrier. 10 kg carry-on included in Economy. Hub at Casablanca Mohammed V.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free bag on most routes. Oneworld member. Connects Africa to Europe and beyond.,https://www.royalairmaroc.com/pt-en/baggage-information,2026-03-30
virgin-atlantic,Virgin Atlantic,VS,Europe,23 x 36 x 56,9 x 14 x 22,,,free,Must fit under seat in front,56 x 36 x 23,22 x 14 x 9,10,23,free,"UK carrier, SkyTeam member. Economy includes 1 carry-on. Economy Light fare may have restrictions.",158 linear cm,62 linear in,23,50,,Economy Light: no free bag. Economy Classic/Delight: 1 free bag (23 kg). Hub at London Heathrow.,https://www.virginatlantic.com/en-CA/help/categories/070fb328-0c1c-4a04-a2bf-795834008bf1,2026-03-30
eva-air,EVA Air,BR,Asia,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 40 x 23,21.7 x 15.7 x 9,7,15,free,Taiwan's second major carrier. Star Alliance member. Economy includes 1 carry-on up to 7 kg.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free checked bag (23 kg) on most international routes. Hub at Taipei Taoyuan.,https://www.evaair.com/en-global/fly-prepare/baggage/free-baggage/general-information/,2026-03-30
china-airlines,China Airlines,CI,Asia,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,7,15,free,Taiwan's flag carrier. SkyTeam member. Economy includes 1 carry-on up to 7 kg.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free checked bag (23 kg) on international routes. Hub at Taipei Taoyuan.,https://www.china-airlines.com/us/en/fly/prepare-for-the-fly/baggage/carry-on-baggage,2026-03-30
gulf-air,Gulf Air,GF,Middle East,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,7,15,free,Bahrain's flag carrier. Economy includes 1 carry-on up to 7 kg. Hub at Bahrain International.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free checked bag (23 kg) on most routes.,https://www.gulfair.com/help/baggage/baggage-information,2026-03-30
kuwait-airways,Kuwait Airways,KU,Middle East,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,7,15,free,Kuwait's national carrier. Economy includes 1 carry-on up to 7 kg. Hub at Kuwait International.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free checked bag (23 kg) on most routes.,https://kuwaitairways.com/en/is/free-carry-on-baggage,2026-03-30
royal-jordanian,Royal Jordanian,RJ,Middle East,40 x 30 x 20,15.7 x 11.8 x 7.9,,,free,Must fit under seat in front,56 x 45 x 25,22 x 17.7 x 9.8,7,15,free,Jordan's flag carrier. Oneworld member. Economy includes 1 carry-on up to 7 kg. Hub at Amman Queen Alia.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free checked bag (23 kg) on international routes.,https://www.rj.com/en/info-and-tips/baggage-information/checked-luggage,2026-03-30
brussels-airlines,Brussels Airlines,SN,Europe,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 40 x 23,21.7 x 15.7 x 9,8,18,free,"Belgium's flag carrier. Star Alliance member, Lufthansa Group. Economy includes 1 carry-on up to 8 kg.",158 linear cm,62 linear in,23,50,,Lite fare: no free bag. Standard/Flex: 1 free bag (23 kg). Hub at Brussels Airport.,https://www.brusselsairlines.com/xx/en/extra-services/baggage,2026-03-30
srilankan-airlines,SriLankan Airlines,UL,Asia,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,7,15,free,Sri Lanka's flag carrier. Oneworld member. Economy includes 1 carry-on up to 7 kg. Hub at Colombo Bandaranaike.,158 linear cm,62 linear in,30,66,0,Economy includes 1 free checked bag (30 kg) on most routes. Generous allowance for region.,https://www.srilankan.com/en_uk/plan-and-book/luggage,2026-03-30
hainan-airlines,Hainan Airlines,HU,Asia,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,5,11,free,Major Chinese private carrier. Economy includes 1 carry-on up to 5 kg. Hub at Haikou Meilan.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free checked bag (23 kg) on international routes.,https://www.hainanairlines.com/BE/US/BASV,2026-03-30
pakistan-international-airlines,Pakistan International Airlines,PK,Asia,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,56 x 45 x 25,22 x 17.7 x 9.8,7,15,free,Pakistan's flag carrier. Economy includes 1 carry-on up to 7 kg. Hub at Islamabad & Karachi.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free checked bag (23 kg) on international routes.,https://www.piac.com.pk/facilities/baggage-guide,2026-03-30
spring-airlines,Spring Airlines,9C,Asia,20 x 30 x 40,7.9 x 11.8 x 15.7,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,7,15,free,China's largest budget carrier. Economy includes 1 carry-on up to 7 kg. Hub at Shanghai Pudong.,158 linear cm,62 linear in,20,44,,Checked baggage is an add-on; not included in base fare. Fees vary by route and booking time.,https://en.ch.com/flights/excess-baggage,2026-03-30
tarom,TAROM,RO,Europe,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,8,18,free,Romania's flag carrier. SkyTeam member. Economy includes 1 carry-on up to 8 kg. Hub at Bucharest Henri Coandă.,158 linear cm,62 linear in,23,50,,Economy Saver: no free bag. Economy Standard/Flex: 1 free bag (23 kg). Fees vary by fare class.,https://www.tarom.ro/en/passenger-information/baggage/,2026-03-30
air-astana,Air Astana,KC,Asia,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,8,18,free,Kazakhstan's flag carrier. Economy includes 1 carry-on up to 8 kg. Hub at Almaty & Astana.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free checked bag (23 kg) on most routes. Varies by fare class.,https://airastana.com/uk-en/information/baggage-allowance,2026-03-30
sichuan-airlines,Sichuan Airlines,3U,Asia,20 x 30 x 40,7.9 x 11.8 x 15.7,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,5,11,free,Major Chinese carrier based in Chengdu. Economy includes 1 carry-on up to 5 kg. Hub at Chengdu Tianfu.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free checked bag (23 kg) on international routes.,https://global.sichuanair.com/www/?country=US-EN#/home,2026-03-30
jin-air,Jin Air,LJ,Asia,40 x 20 x 10,15.7 x 7.9 x 3.9,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,10,22,free,"Korean LCC, subsidiary of Korean Air. Economy includes 1 carry-on up to 10 kg. Hub at Seoul Incheon.",158 linear cm,62 linear in,15,33,,Checked baggage is an add-on; not included in base fare. Fees vary by route and weight tier.,https://www.jinair.com/ready/carryBaggage,2026-03-30
zipair-tokyo,ZIPAIR Tokyo,ZG,Asia,37 x 28 x 15,14.6 x 11 x 5.9,,,free,Must fit under seat in front,56 x 36 x 23,22 x 14.2 x 9,7,15,free,"Japanese ULCC, subsidiary of Japan Airlines. Economy includes 1 carry-on up to 7 kg. Hub at Tokyo Narita.",158 linear cm,62 linear in,20,44,,Checked baggage is an add-on; not included in base fare. Purchased in advance saves money.,https://www.zipair.net/en/service/baggage,2026-03-30
air-algerie,Air Algerie,AH,Africa,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,10,22,free,Algeria's flag carrier. Economy includes 1 carry-on up to 10 kg. Hub at Algiers Houari Boumediene.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free checked bag (23 kg) on most routes. Connects North Africa to Europe and Middle East.,https://airalgerie.dz/en/plan-your-trip/baggage/,2026-03-30
nok-air,Nok Air,DD,Asia,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,56 x 36 x 23,22 x 14.2 x 9,7,15,free,"Thai budget carrier, partially owned by Thai Airways. Economy includes 1 carry-on up to 7 kg. Hub at Don Mueang.",158 linear cm,62 linear in,15,33,,Checked baggage is an add-on; not included in base fare. Purchase in advance for best rates.,https://content.nokair.com/en/Journey-Planning/Baggage.aspx,2026-03-30
croatia-airlines,Croatia Airlines,OU,Europe,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 40 x 23,21.7 x 15.7 x 9,10,22,free,Croatia's flag carrier. Star Alliance member. Economy includes 1 carry-on up to 10 kg. Hub at Zagreb.,158 linear cm,62 linear in,23,50,,Economy Saver: no free bag. Economy Standard/Flex: 1 free bag (23 kg). Fees vary by fare class and route.,https://www.croatiaairlines.com/Baggage,2026-03-30
french-bee,French Bee,BF,Europe,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 35 x 25,21.7 x 13.8 x 9.8,12,26,free,"French long-haul ULCC. 1 carry-on up to 12 kg included on all fares. Hub at Paris Orly. Serves Réunion, Guadeloupe, Tahiti, San Francisco.",158 linear cm,62 linear in,23,50,,Malin (base) fare: no free checked bag. Confort fare: 1 free bag (23 kg). Purchase in advance for best rates.,https://www.frenchbee.com/en/organize-my-trip/at-the-airport/baggage,2026-03-30
wideroe,Wideroe,WF,Europe,25 x 33 x 20,9.8 x 13 x 7.9,,,free,Must fit under seat in front,55 x 40 x 23,21.7 x 15.7 x 9,8,18,free,Norway's largest regional airline. Economy includes 1 carry-on up to 8 kg. Fare restrictions may apply on lowest fares. Hub at Bergen Flesland.,158 linear cm,62 linear in,23,50,,Checked bag allowance varies by fare class. Economy Flex includes 1 free bag; Economy Light may require purchase.,https://www.wideroe.no/en/travel-info/baggage,2026-03-30
middle-east-airlines,Middle East Airlines,ME,Middle East,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,8,18,free,Lebanon's flag carrier (MEA). Oneworld associate. Economy includes 1 carry-on up to 8 kg. Hub at Beirut Rafic Hariri.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free checked bag (23 kg) on most routes. Some fares allow 2 bags.,https://www.mea.com.lb/english/traveler-info/baggage-info,2026-03-30
biman-bangladesh,Biman Bangladesh Airlines,BG,Asia,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,56 x 45 x 25,22 x 17.7 x 9.8,7,15,free,Bangladesh's national carrier. Economy includes 1 carry-on up to 7 kg. Hub at Dhaka Hazrat Shahjalal.,158 linear cm,62 linear in,20,44,0,"Economy includes 1 free checked bag. Weight varies by route: 20 kg on domestic/regional, 23 kg on some international routes.",https://www.biman-airlines.com/baggageAll#gsc.tab=0,2026-03-30
uzbekistan-airways,Uzbekistan Airways,HY,Asia,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,5,11,free,Uzbekistan's flag carrier. Economy includes 1 carry-on up to 5 kg. Hub at Tashkent International.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free checked bag (23 kg) on most international routes.,https://www.uzairways.com/en/baggage,2026-03-30
rwandair,RwandAir,WB,Africa,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,56 x 45 x 25,22 x 17.7 x 9.8,7,15,free,Rwanda's flag carrier. Economy includes 1 carry-on up to 7 kg. Fast-growing pan-African network. Hub at Kigali International.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free checked bag (23 kg) on most routes.,https://www.rwandair.com/plan-your-trip/baggage,2026-03-30
tunisair,Tunisair,TU,Africa,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,10,22,free,Tunisia's flag carrier. Economy includes 1 carry-on up to 10 kg. Hub at Tunis Carthage. Connects North Africa to Europe and the Middle East.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free checked bag (23 kg) on most routes.,https://www.tunisair.com/en-ca/node/377,2026-03-30
air-mauritius,Air Mauritius,MK,Africa,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,7,15,free,Mauritius flag carrier. Economy includes 1 carry-on up to 7 kg. Hub at Sir Seewoosagur Ramgoolam International.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free checked bag (23 kg) on most international routes.,https://www.airmauritius.com/en/before-you-fly/baggage,2026-03-30
taag-angola,TAAG Angola Airlines,DT,Africa,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 40 x 20,21.7 x 15.7 x 7.9,8,18,free,Angola's national carrier. Economy includes 1 carry-on up to 8 kg. Hub at Luanda Quatro de Fevereiro.,158 linear cm,62 linear in,23,50,0,Economy includes 1 free checked bag (23 kg) on most routes.,https://flytaag.com/en/Plan/Luggage,2026-03-30
arajet,Arajet,DM,North America,45 x 35 x 20,17.7 x 13.8 x 7.9,,,free,Must fit under seat in front. Only item included in base fare.,45 x 35 x 25,17.7 x 13.8 x 9.8,10,22,varies,"Dominican ULCC, launched 2022. Carry-on is an add-on; not included in base fare. Hub at Las Américas International, Santo Domingo.",158 linear cm,62 linear in,23,50,,Checked baggage is an add-on. Fees vary by route; purchase in advance for best rates.,https://www.arajet.com/en-us/baggage,2026-03-30
air-tahiti-nui,Air Tahiti Nui,TN,Oceania,40 x 30 x 15,15.7 x 11.8 x 5.9,,,free,Must fit under seat in front,55 x 35 x 25,21.7 x 13.8 x 9.8,12,26,free,"French Polynesia's flag carrier. Economy includes 1 carry-on up to 12 kg. Serves Papeete to Paris, Tokyo, Seattle, Auckland, Sydney. Hub at Papeete Faa'a.",158 linear cm,62 linear in,23,50,0,Economy includes 1 free checked bag (23 kg) on all international routes.,https://www.airtahitinui.com/us-en/baggage,2026-03-30